timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
1752689882.158285,-0.055,0.0054,-1.0132,0.1837,-0.1138,-2.8963,-0.1555,0.2394,0.533
1752689882.2120242,-0.054,0.0026,-1.0085,0.4638,-0.07,-2.8963,-0.1562,0.2415,0.5366
1752689882.2603545,-0.0529,0.0054,-1.0122,0.28,-0.2713,-2.9838,-0.1597,0.2391,0.5323
1752689882.3141286,-0.0542,0.0028,-1.0217,0.28,-0.1663,-3.1588,-0.1592,0.2387,0.5317
1752689882.362427,-0.0531,0.0044,-1.0197,0.21,-0.035,-2.8963,-0.1527,0.2407,0.5292
1752689882.416114,-0.0545,0.0017,-1.0122,0.0525,-0.0613,-3.08,-0.1551,0.2395,0.5277
1752689882.4644651,-0.0517,0.0024,-1.0093,0.0,-2.2225,-2.9575,-0.1558,0.2356,0.5281
1752689882.5182364,-0.0515,0.0018,-1.0116,0.2013,-0.105,-3.3338,-0.163,0.2426,0.5354
1752689882.5736609,-0.0539,0.0024,-1.0124,-0.0088,-0.0963,-3.2462,-0.1543,0.2398,0.5333
1752689882.6214404,-0.054,0.0008,-1.0113,0.3063,0.0963,-3.1937,-0.1546,0.239,0.5327
1752689882.6696665,-0.0534,0.0032,-1.0086,0.3063,0.07,-3.1063,-0.1525,0.2381,0.5365
1752689882.7233322,-0.0523,0.0045,-1.0115,0.2187,-0.0963,-3.2288,-0.154,0.236,0.5268
1752689882.7717204,-0.0534,0.0033,-1.0126,0.4112,-0.07,-2.9313,-0.1597,0.2391,0.5324
1752689882.8253517,-0.0513,0.0032,-1.011,0.2888,-0.0875,-3.1588,-0.1557,0.2388,0.53
1752689882.8737133,-0.0543,0.0026,-1.0117,0.35,-0.21,-2.7913,-0.1511,0.2327,0.5321
1752689882.9284163,-0.0533,0.0006,-1.0141,0.2187,-0.1225,-3.0713,-0.1533,0.2401,0.5298
1752689882.9770143,-0.0551,0.0042,-1.015,0.0438,-0.175,-3.0013,-0.1506,0.2344,0.5319
1752689883.0304685,-0.0523,0.0028,-1.0124,0.3763,-0.1312,-3.2638,-0.1515,0.2327,0.5327
1752689883.078819,-0.0542,0.0049,-1.0118,0.1663,0.1138,-3.22,-0.1564,0.2344,0.5264
1752689883.1325538,-0.0564,0.0032,-1.0114,0.105,0.0,-3.15,-0.1603,0.2387,0.5347
1752689883.180785,-0.0539,0.0044,-1.0146,0.1488,-0.2538,-2.94,-0.1567,0.2341,0.5382
1752689883.2346354,-0.0537,0.0046,-1.0137,0.0963,-0.1312,-3.2375,-0.1543,0.2374,0.5344
1752689883.2832139,-0.0541,0.0025,-1.0134,0.2275,-0.2013,-3.0188,-0.1505,0.2337,0.533
1752689883.3376582,-0.0538,0.0037,-1.0112,0.21,-0.1837,-3.045,-0.1539,0.2346,0.5288
